Title,Co-Link,Answer,Date,type,rank
飯塚幸三さんはどうすれば世間的に許されたのでしょうか。 事故後すぐ逮捕されていればあそこまで叩か,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14281508254?__ysp=6aOv5aGa5bm45LiJ,叩かれることはなかったのでしょうか。 逮捕されずとも非を認め謝罪すれば許されたのでしょうか。 人の命を奪った事故を起こし...,2023/6/15,WISDOM,1
飯塚幸三が、もうすぐ、受刑者になります。 飯塚は禁固刑です。 そこで思いました。 飯塚が刑務,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10249545855?__ysp=6aOv5aGa5bm45LiJ,刑務作業を申し出た場合と、刑務作業を申し出なかった場合で、仮釈放に影響はあるのですか？ 禁固刑の受刑者が、刑務作業をした場合...,2021/9/18,WISDOM,1
飯塚幸三被告に禁固5年が言い渡されたようですが、 これはまだ確定では無いのですか？ 控訴さえすれ,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13248716678?__ysp=6aOv5aGa5bm45LiJ,控訴さえすればいつまでも引き伸ばして家に居続けられるのでしょうか？ 刑務所内で控訴の申請したりするという事にはならないのですか？ どの...,2021/9/2,WISDOM,1
飯塚幸三通産省工業技術院長、佐川宣寿財務省理財局長・国税庁長官、熊澤英昭農林水産省事務次官の中...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13282705973?__ysp=6aOv5aGa5bm45LiJ,中ではどれが一番問題度が高いですか？,2023/7/10,WISDOM,1
飯塚幸三は今頃、上告しなかった事を後悔してますよね？,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14282451054?__ysp=6aOv5aGa5bm45LiJ,,2023/7/5,WISDOM,1
飯塚幸三の弁護士は、今回の判決で負けたっていうことだけで済むことなのでしょうか。？ 車が壊れて...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13249089458?__ysp=6aOv5aGa5bm45LiJ,壊れていたなどという言い訳は通用しないからすぐ自分の過失を認めて謝罪した方が良いとかアドバイスすべきだったのでは。？ 結果的に裁判...,2021/9/9,WISDOM,1
飯塚幸三さんは、実刑判決を受けて刑務所に収監されるそうですが、刑務所は市原刑務所になるんでしょ...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10250880105?__ysp=6aOv5aGa5bm45LiJ,刑務所は市原刑務所になるんでしょうか？YouTubeで交通刑務所は普通の刑務所より自由と聞きましたが本当なんですか？,2021/10/12,WISDOM,1
飯塚幸三側の弁護士について 皆さんは、どう思いますか？ 収監見送りまで考えた上での否認なのでし...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10248750325?__ysp=6aOv5aGa5bm45LiJ,否認なのでしょうか？ 本来、過失を認めて任意保険に加入していたら、示談した上で裁判に臨んだ方が量刑は軽く済んだと思うのですが、任意保険...,2021/9/3,WISDOM,1
過去に飯塚幸三被告がインタビューを受けて 「安全な車を作るように云々」と言って叩かれていました...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11246453236?__ysp=6aOv5aGa5bm45LiJ,と言って叩かれていましたが、何も間違ったこと言っていませんよね？ 事故を起こした本人の飯塚被告が言ったから、「事故を車のせいにしている」と勘違い...,2021/7/22,WISDOM,1
飯塚幸三って過失運転致死罪なんですね。危険運転かと思いました。仲本工事の迷惑行為によって加害者...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12271561287?__ysp=6aOv5aGa5bm45LiJ,加害者にされてしまった人もおそらく過失運転致死罪にされるんですよね。この二人が同じ罪名っておかしくないですか？ 仲本工事の方...,2022/11/25,WISDOM,1
